smiles,p_activity
CC(=O)N1CCN(CCCCOc2ccccc2NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,5.501689446210399
CC(=O)N1CCN(CCCOc2ccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)c3cccnc23)CC1,6.847711655616944
CC(=O)N1CCN(CCCOc2ccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)cc2)CC1,8.481486060122112
CC(=O)N1CCN(CCCOc2cccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)c2)CC1,8.443697499232712
CC(=O)N1CCN(CCCOc2ccccc2NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,6.002613615602687
CC(=O)N1CCN(CCOc2cccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)c2)CC1,8.221848749616356
CC(=O)NS(=O)(=O)c1ccc(CNC(=O)c2ccc(cc2)C(C)(C)C)cc1,4.896196279044043
CC(=O)Nc1ccc(CNC(=O)c2ccc(cc2)C(C)(C)C)cc1,5.950781977329818
CC(=O)Nc1ccccc1C(=O)N1CCC2(CC1)CN(CCO2)C(=O)Nc1ccc(cc1)C(F)(F)F,9.096910013008056
CC(=O)Oc1ccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,8.4089353929735
CC(=O)Oc1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1,8.397940008672037
CC(=O)Oc1cccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)c1,8.236572006437063
CC(=O)c1ccc(CNC(=O)c2ccc(cc2)C(C)(C)C)cc1,6.804100347590767
CC(=O)c1ccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,8.200659450546418
CC(=O)c1ccc(NC(=O)c2ccc(N(CCN3CCOCC3)C(=O)Nc3ccc(Cl)cc3)c(C)c2)cc1,8.022276394711152
CC(=O)c1ccc(cc1)N1CCC(CC1)NC(=O)NC12CC3CC(CC(C3)O1)C2,7.080921907623926
CC(=O)c1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)NC1CCCCCC1,6.468521082957745
CC(=O)c1cccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)c1,8.886056647693163
CC(=O)c1cccc(NC(=O)NC2C3CC4CC(C3)CC2C4)c1,9.301029995663981
CC(C#Cc1cc(ccc1C)C(=O)NCc1ccccc1C(F)(F)F)N(O)C(N)=O,5.508638306165727
CC(C#Cc1ccc(cc1)C(=O)NCc1ccccc1C(F)(F)F)N(O)C(N)=O,5.585026652029182
CC(C#Cc1ccc(o1)C(=O)NCc1ccccc1C(F)(F)F)N(O)C(N)=O,6.221848749616356
CC(C#Cc1cccc(c1)C(=O)NCCC(c1ccccc1)c1ccc(Cl)cc1)N(O)C(N)=O,8.698970004336019
CC(C#Cc1cccc(c1)C(=O)NCCC(c1ccccc1)c1ccc(F)cc1)N(O)C(N)=O,8.698970004336019
CC(C#Cc1cccc(c1)C(=O)NCCC(c1ccccc1)c1ccc(OC(F)(F)F)cc1)N(O)C(N)=O,8.154901959985743
CC(C#Cc1cccc(c1)C(=O)NCCC(c1ccccc1)c1ccc(cc1)C(F)(F)F)N(O)C(N)=O,8.568636235841012
CC(C#Cc1cccc(c1)C(=O)NCCC(c1ccccc1)c1ccccc1)N(O)C(N)=O,8.698970004336019
CC(C#Cc1cccc(c1)C(=O)NCCc1c[nH]c2ccccc12)N(O)C(N)=O,5.508638306165727
CC(C#Cc1cccc(c1)C(=O)NCCc1ccc(F)cc1)N(O)C(N)=O,5.920818753952375
CC(C#Cc1cccc(c1)C(=O)NCc1ccc(Cl)cc1Cl)N(O)C(N)=O,7.3979400086720375
CC(C#Cc1cccc(c1)C(=O)NCc1ccc(F)cc1C(F)(F)F)N(O)C(N)=O,7.537602002101044
CC(C#Cc1cccc(c1)C(=O)NCc1cccc(F)c1)N(O)C(N)=O,5.045757490560675
CC(C#Cc1cccc(c1)C(=O)NCc1ccccc1C(F)(F)F)N(O)C(N)=O,7.045757490560675
CC(C#Cc1cccc(c1)C(=O)NCc1ccccc1OC(F)(F)F)N(O)C(N)=O,7.795880017344075
CC(C#Cc1cncc(c1)C(=O)NCc1ccccc1C(F)(F)F)N(O)C(N)=O,6.301029995663981
CC(C(=O)N1CCN(Cc2ccc(s2)C(=O)NCc2ccc(Cl)cc2Cl)CC1)c1ccccc1,8.91721462968355
CC(C(=O)N1CCN(Cc2ccc(s2)C(=O)NCc2ccccc2C(F)(F)F)CC1)c1ccccc1,8.818156412055227
CC(C)(C)C(=O)N1CCC2(CC1)CN(CCO2)C(=O)Nc1ccc(cc1)C(F)(F)F,8.537602002101044
CC(C)(C)C(=O)N1CCC2(CCN(C2)C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,9.221848749616356
CC(C)(C)C(Nc1ccc(CNC(=O)C23CC4CC(CC(C4)C2)C3)cc1)P(=O)(OCC(F)(F)F)OCC(F)(F)F,7.522878745280337
CC(C)(C)C(Nc1ccc(CNC(=O)C23CC4CC(CC(C4)C2)C3)cc1)P(=O)(OCc1ccccc1)OCc1ccccc1,7.376750709602099
CC(C)(C)C(Nc1ccc(CNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1)P(=O)(OCC(F)(F)F)OCC(F)(F)F,8.42021640338319
CC(C)(C)C(Nc1ccc(CNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1)P(=O)(OCc1ccccc1)OCc1ccccc1,8.585026652029182
CC(C)(C)C1CCc2c(C1)scc2C(=O)NN=Cc1cccs1,7.798602875679548
CC(C)(C)CC(=O)Nc1cccc(OCCCN2CCOCC2)c1,5.809668301829708
CC(C)(C)CC(C)(C)NC(=O)NC1CCCCC1,5.510041520575165
CC(C)(C)CNC(=O)Nc1ccc2N(Cc3ccc(F)cc3)CCc2c1,7.0
CC(C)(C)CNC(=S)Nc1ccc2N(CCCCO)CCc2c1,4.858236769724212
CC(C)(C)CNC(=S)Nc1ccc2N(CCc3ccc(F)cc3)CCc2c1,5.943095148663527
CC(C)(C)CNC(=S)Nc1ccc2N(Cc3ccc(F)cc3)CCc2c1,5.856985199745905
CC(C)(C)CNC(=S)Nc1ccc2N(Cc3ccc(O)cc3)CCc2c1,6.102372908709558
CC(C)(C)CNC(=S)Nc1ccc2N(Cc3ccc(cc3)N=O)CCc2c1,6.366531544420413
CC(C)(C)CNC(=S)Nc1ccc2N(Cc3ccc4ccccc4c3)CCc2c1,6.040958607678906
CC(C)(C)CNC(=S)Nc1ccc2n(Cc3ccc(F)cc3)ccc2c1,5.673664139071249
CC(C)(C)N1CCOC(COc2ccc(NC(=O)NC3CCCCC3)cc2)C1,7.113509274827518
CC(C)(C)NC(=O)NC1C2CC3CC(C2)CC1C3,7.616184634019569
CC(C)(C)NC(=O)Nc1cccc(OCCCN2CCOCC2)c1,5.982966660701219
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,5.552841968657781
CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)NC2CCCCC2)cc1,8.337242168318426
